blank_stick_index,cuts_mm,n_cuts,used_length_mm_including_kerf,waste_length_mm
300,120.0,1,120.0,0.0
301,120.0,1,120.0,0.0
302,120.0,1,120.0,0.0
303,120.0,1,120.0,0.0
304,120.0,1,120.0,0.0
305,120.0,1,120.0,0.0
306,120.0,1,120.0,0.0
307,120.0,1,120.0,0.0
308,120.0,1,120.0,0.0
309,120.0,1,120.0,0.0
310,120.0,1,120.0,0.0
311,120.0,1,120.0,0.0
312,120.0,1,120.0,0.0
313,120.0,1,120.0,0.0
314,120.0,1,120.0,0.0
315,120.0,1,120.0,0.0
316,120.0,1,120.0,0.0
317,120.0,1,120.0,0.0
318,120.0,1,120.0,0.0
319,120.0,1,120.0,0.0
320,120.0,1,120.0,0.0
321,120.0,1,120.0,0.0
322,120.0,1,120.0,0.0
323,120.0,1,120.0,0.0
324,120.0,1,120.0,0.0
325,120.0,1,120.0,0.0
326,120.0,1,120.0,0.0
327,120.0,1,120.0,0.0
328,120.0,1,120.0,0.0
329,120.0,1,120.0,0.0
330,120.0,1,120.0,0.0
331,120.0,1,120.0,0.0
332,120.0,1,120.0,0.0
333,120.0,1,120.0,0.0
334,120.0,1,120.0,0.0
335,120.0,1,120.0,0.0
336,120.0,1,120.0,0.0
337,120.0,1,120.0,0.0
338,120.0,1,120.0,0.0
339,120.0,1,120.0,0.0
340,120.0,1,120.0,0.0
341,120.0,1,120.0,0.0
342,120.0,1,120.0,0.0
343,120.0,1,120.0,0.0
344,120.0,1,120.0,0.0
345,120.0,1,120.0,0.0
346,120.0,1,120.0,0.0
347,120.0,1,120.0,0.0
348,120.0,1,120.0,0.0
349,120.0,1,120.0,0.0
350,120.0,1,120.0,0.0
351,120.0,1,120.0,0.0
352,120.0,1,120.0,0.0
353,120.0,1,120.0,0.0
354,120.0,1,120.0,0.0
355,120.0,1,120.0,0.0
356,120.0,1,120.0,0.0
357,120.0,1,120.0,0.0
358,120.0,1,120.0,0.0
359,120.0,1,120.0,0.0
360,120.0,1,120.0,0.0
361,120.0,1,120.0,0.0
362,120.0,1,120.0,0.0
363,120.0,1,120.0,0.0
364,120.0,1,120.0,0.0
365,118.8,1,118.83273476902781,1.1672652309721911
366,118.8,1,118.83273476902781,1.1672652309721911
367,118.8,1,118.83273476902781,1.1672652309721911
368,118.8,1,118.83273476902781,1.1672652309721911
369,118.8,1,118.83273476902781,1.1672652309721911
370,118.8,1,118.83273476902781,1.1672652309721911
371,118.8,1,118.83273476902781,1.1672652309721911
372,118.8,1,118.83273476902781,1.1672652309721911
373,118.8,1,118.83273476902778,1.1672652309722196
374,118.8,1,118.83273476902778,1.1672652309722196
375,118.8,1,118.83273476902778,1.1672652309722196
376,118.8,1,118.83273476902778,1.1672652309722196
377,118.8,1,118.83273476902778,1.1672652309722196
378,118.8,1,118.83273476902778,1.1672652309722196
379,118.8,1,118.83273476902778,1.1672652309722196
380,118.8,1,118.83273476902778,1.1672652309722196
381,112.5,1,112.48456731316588,7.515432686834117
382,112.5,1,112.48456731316588,7.515432686834117
383,112.5,1,112.48456731316588,7.515432686834117
384,112.5,1,112.48456731316588,7.515432686834117
385,110.6,1,110.61018031108102,9.389819688918976
386,110.6,1,110.61018031108102,9.389819688918976
387,110.6,1,110.61018031108102,9.389819688918976
388,110.6,1,110.61018031108102,9.389819688918976
389,110.6,1,110.61018031108102,9.389819688918976
390,110.6,1,110.61018031108102,9.389819688918976
391,110.6,1,110.61018031108102,9.389819688918976
392,110.6,1,110.61018031108102,9.389819688918976
393,110.0,1,110.0,10.0
394,110.0,1,110.0,10.0
395,110.0,1,110.0,10.0
396,110.0,1,110.0,10.0
397,110.0,1,110.0,10.0
398,110.0,1,110.0,10.0
399,110.0,1,109.99999999999999,10.000000000000014
400,110.0,1,109.99999999999999,10.000000000000014
401,110.0,1,109.99999999999999,10.000000000000014
402,110.0,1,109.99999999999999,10.000000000000014
403,110.0,1,109.99999999999999,10.000000000000014
404,110.0,1,109.99999999999999,10.000000000000014
405,107.2,1,107.2308292331602,12.769170766839807
406,107.2,1,107.2308292331602,12.769170766839807
407,107.2,1,107.2308292331602,12.769170766839807
408,107.2,1,107.2308292331602,12.769170766839807
409,107.2,1,107.2308292331602,12.769170766839807
410,107.2,1,107.2308292331602,12.769170766839807
411,107.2,1,107.2308292331602,12.769170766839807
412,107.2,1,107.2308292331602,12.769170766839807
413,107.2,1,107.2308292331602,12.769170766839807
414,107.2,1,107.2308292331602,12.769170766839807
415,107.2,1,107.2308292331602,12.769170766839807
416,107.2,1,107.2308292331602,12.769170766839807
417,107.2,1,107.2308292331602,12.769170766839807
418,107.2,1,107.2308292331602,12.769170766839807
419,107.2,1,107.2308292331602,12.769170766839807
420,107.2,1,107.2308292331602,12.769170766839807
421,107.2,1,107.2308292331602,12.769170766839807
422,107.2,1,107.2308292331602,12.769170766839807
423,107.2,1,107.2308292331602,12.769170766839807
424,107.2,1,107.2308292331602,12.769170766839807
425,106.5,1,106.51030205780306,13.48969794219694
426,106.5,1,106.51030205780306,13.48969794219694
427,106.5,1,106.51030205780306,13.48969794219694
428,106.5,1,106.51030205780306,13.48969794219694
429,106.5,1,106.51030205780306,13.48969794219694
430,106.5,1,106.51030205780306,13.48969794219694
431,106.5,1,106.51030205780306,13.48969794219694
432,106.5,1,106.51030205780306,13.48969794219694
433,106.5,1,106.51030205780306,13.48969794219694
434,106.5,1,106.51030205780306,13.48969794219694
435,106.5,1,106.51030205780306,13.48969794219694
436,106.5,1,106.51030205780306,13.48969794219694
437,106.5,1,106.51030205780306,13.48969794219694
438,106.5,1,106.51030205780306,13.48969794219694
439,106.5,1,106.51030205780306,13.48969794219694
440,106.5,1,106.51030205780306,13.48969794219694
441,106.5,1,106.51030205780306,13.48969794219694
442,106.5,1,106.51030205780306,13.48969794219694
443,106.5,1,106.51030205780306,13.48969794219694
444,106.5,1,106.51030205780306,13.48969794219694
445,106.5,1,106.51030205780306,13.48969794219694
446,106.5,1,106.51030205780306,13.48969794219694
447,106.5,1,106.51030205780306,13.48969794219694
448,106.5,1,106.51030205780306,13.48969794219694
449,106.5,1,106.51030205780306,13.48969794219694
450,106.5,1,106.51030205780306,13.48969794219694
451,106.5,1,106.51030205780306,13.48969794219694
452,106.5,1,106.51030205780306,13.48969794219694
453,106.5,1,106.51030205780306,13.48969794219694
454,106.5,1,106.51030205780306,13.48969794219694
455,106.5,1,106.51030205780306,13.48969794219694
456,106.5,1,106.51030205780306,13.48969794219694
457,106.5,1,106.51030205780306,13.48969794219694
458,106.5,1,106.51030205780306,13.48969794219694
459,106.5,1,106.51030205780306,13.48969794219694
460,106.5,1,106.51030205780306,13.48969794219694
461,106.5,1,106.51030205780306,13.48969794219694
462,106.5,1,106.51030205780306,13.48969794219694
463,106.5,1,106.51030205780306,13.48969794219694
464,106.5,1,106.51030205780306,13.48969794219694
465,106.5,1,106.51030205780306,13.48969794219694
466,106.5,1,106.51030205780306,13.48969794219694
467,106.5,1,106.51030205780306,13.48969794219694
468,106.5,1,106.51030205780306,13.48969794219694
469,106.5,1,106.51030205780306,13.48969794219694
470,106.5,1,106.51030205780306,13.48969794219694
471,106.5,1,106.51030205780306,13.48969794219694
472,106.5,1,106.51030205780306,13.48969794219694
473,106.5,1,106.51030205780306,13.48969794219694
474,106.5,1,106.51030205780306,13.48969794219694
475,106.5,1,106.51030205780305,13.489697942196955
476,106.5,1,106.51030205780305,13.489697942196955
477,106.5,1,106.51030205780305,13.489697942196955
478,106.5,1,106.51030205780305,13.489697942196955
479,106.5,1,106.51030205780305,13.489697942196955
480,106.5,1,106.51030205780305,13.489697942196955
481,106.5,1,106.51030205780305,13.489697942196955
482,106.5,1,106.51030205780305,13.489697942196955
483,106.5,1,106.51030205780305,13.489697942196955
484,106.5,1,106.51030205780305,13.489697942196955
485,106.5,1,106.51030205780305,13.489697942196955
486,106.5,1,106.51030205780305,13.489697942196955
487,106.5,1,106.51030205780305,13.489697942196955
488,106.5,1,106.51030205780305,13.489697942196955
489,106.5,1,106.51030205780305,13.489697942196955
490,106.5,1,106.51030205780305,13.489697942196955
491,106.5,1,106.51030205780305,13.489697942196955
492,106.5,1,106.51030205780305,13.489697942196955
493,106.5,1,106.51030205780305,13.489697942196955
494,106.5,1,106.51030205780305,13.489697942196955
495,106.5,1,106.51030205780305,13.489697942196955
496,106.5,1,106.51030205780305,13.489697942196955
497,106.5,1,106.51030205780305,13.489697942196955
498,106.5,1,106.51030205780305,13.489697942196955
499,106.5,1,106.51030205780305,13.489697942196955
500,106.5,1,106.51030205780305,13.489697942196955
501,106.5,1,106.51030205780305,13.489697942196955
502,106.5,1,106.51030205780305,13.489697942196955
503,106.5,1,106.51030205780305,13.489697942196955
504,106.5,1,106.51030205780305,13.489697942196955
505,100.0,1,100.0,20.0
506,100.0,1,100.0,20.0
507,100.0,1,100.0,20.0
508,100.0,1,100.0,20.0
509,100.0,1,100.0,20.0
510,100.0,1,100.0,20.0
511,100.0,1,100.0,20.0
512,100.0,1,100.0,20.0
513,100.0,1,100.0,20.0
514,100.0,1,100.0,20.0
515,100.0,1,100.0,20.0
516,100.0,1,100.0,20.0
517,100.0,1,100.0,20.0
518,100.0,1,100.0,20.0
519,100.0,1,100.0,20.0
520,100.0,1,100.0,20.0
521,100.0,1,100.0,20.0
522,100.0,1,100.0,20.0
523,100.0,1,100.0,20.0
524,100.0,1,100.0,20.0
525,100.0,1,100.0,20.0
526,100.0,1,100.0,20.0
527,100.0,1,100.0,20.0
528,100.0,1,100.0,20.0
529,100.0,1,100.0,20.0
530,100.0,1,100.0,20.0
531,100.0,1,100.0,20.0
532,100.0,1,100.0,20.0
533,100.0,1,100.0,20.0
534,100.0,1,100.0,20.0
535,100.0,1,100.0,20.0
536,100.0,1,100.0,20.0
537,100.0,1,100.0,20.0
538,100.0,1,100.0,20.0
539,100.0,1,100.0,20.0
540,100.0,1,100.0,20.0
541,100.0,1,100.0,20.0
542,100.0,1,100.0,20.0
543,100.0,1,100.0,20.0
544,100.0,1,100.0,20.0
545,100.0,1,100.0,20.0
546,100.0,1,100.0,20.0
547,100.0,1,100.0,20.0
548,100.0,1,100.0,20.0
549,100.0,1,100.0,20.0
550,100.0,1,100.0,20.0
551,100.0,1,100.0,20.0
552,100.0,1,100.0,20.0
553,100.0,1,100.0,20.0
554,100.0,1,100.0,20.0
555,100.0,1,100.0,20.0
556,100.0,1,100.0,20.0
557,100.0,1,100.0,20.0
558,100.0,1,100.0,20.0
559,100.0,1,100.0,20.0
560,100.0,1,100.0,20.0
561,100.0,1,100.0,20.0
562,100.0,1,100.0,20.0
563,100.0,1,100.0,20.0
564,100.0,1,100.0,20.0
565,100.0,1,100.0,20.0
566,100.0,1,100.0,20.0
567,100.0,1,100.0,20.0
568,100.0,1,100.0,20.0
569,100.0,1,100.0,20.0
570,100.0,1,100.0,20.0
571,100.0,1,100.0,20.0
572,100.0,1,100.0,20.0
573,100.0,1,100.0,20.0
574,100.0,1,100.0,20.0
575,100.0,1,100.0,20.0
576,100.0,1,100.0,20.0
577,100.0,1,100.0,20.0
578,100.0,1,100.0,20.0
579,100.0,1,100.0,20.0
580,100.0,1,100.0,20.0
581,100.0,1,100.0,20.0
582,100.0,1,100.0,20.0
583,100.0,1,100.0,20.0
584,100.0,1,100.0,20.0
585,100.0,1,100.0,20.0
586,100.0,1,100.0,20.0
587,100.0,1,100.0,20.0
588,100.0,1,100.0,20.0
589,100.0,1,100.0,20.0
590,100.0,1,100.0,20.0
591,100.0,1,100.0,20.0
592,100.0,1,100.0,20.0
593,100.0,1,100.0,20.0
594,100.0,1,100.0,20.0
595,100.0,1,100.0,20.0
596,100.0,1,100.0,20.0
597,100.0,1,100.0,20.0
598,100.0,1,100.0,20.0
599,100.0,1,100.0,20.0
600,100.0,1,100.0,20.0
601,100.0,1,100.0,20.0
602,100.0,1,100.0,20.0
603,100.0,1,100.0,20.0
604,100.0,1,100.0,20.0
605,100.0,1,100.0,20.0
606,100.0,1,100.0,20.0
607,100.0,1,100.0,20.0
