member_id,group,role,n_lanes_sticks,pieces_per_lane,total_piece_count,member_length_mm,layout,section_A_mm2,section_Iy_mm4,section_Iz_mm4,section_J_mm4_est,radius_y_mm,radius_z_mm,slenderness_y,slenderness_z,N_member_N,N_per_lane_N,sigma_axial_member_MPa,sigma_axial_piece_MPa,M_imperfection_Nmm,sigma_bending_est_MPa,sigma_combined_est_MPa,glue_area_total_mm2,glue_mass_est_g,FS_min_global,FS_min_global_label,FS_min_glue,FS_min_glue_label,governing_mode_global,report_mode_global,suggested_action
16,top_chord,primary,5,1,5,100.0,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,13.571511067511485,12.86923396254469,-474.86922839813644,-94.97384567962729,-9.045128159964504,-9.045128159964504,949.7384567962729,4.447272536168176,17.006588196226808,0.0,0.0,0.5679097715169162,0.568,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
17,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,393.601150570004,98.400287642501,9.371455965952476,9.371455965952476,0.0,0.0,9.371455965952476,0.0,0.0,7.175576585357773,7.176,,sem solicitação,tension_capacity,tension_capacity,manter
18,top_chord,primary,5,1,5,100.0,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,13.571511067511485,12.86923396254469,-451.01991559462294,-90.20398311892458,-8.590855535135676,-8.590855535135674,902.0398311892459,4.223917583910406,16.152467909299528,0.0,0.0,0.5979400591312051,0.598,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
19,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,349.3892920066744,87.3473230016686,8.318792666825582,8.318792666825582,0.0,0.0,8.318792666825582,0.0,0.0,8.083576871457318,8.084,,sem solicitação,tension_capacity,tension_capacity,manter
20,top_chord,primary,5,1,5,106.51030205780306,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814657,13.707059966031728,-412.68084549728275,-82.53616909945654,-7.860587533281576,-7.860587533281576,825.3616909945655,3.864862325515827,14.779422999291,0.0,0.0,0.6534901678681757,0.653,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
21,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,286.37506322258196,71.59376580564549,6.818453886251952,6.818453886251952,0.0,0.0,6.818453886251952,0.0,0.0,9.86229446173821,9.862,,sem solicitação,tension_capacity,tension_capacity,manter
22,top_chord,primary,5,1,5,106.51030205780305,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814655,13.707059966031727,-365.7000686385654,-73.14001372771308,-6.965715593115532,-6.965715593115531,731.4001372771309,3.424875259273573,13.096890888566087,0.0,0.0,0.7374427792807917,0.737,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
23,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,186.9513923196903,46.73784807992258,4.451223626659293,4.451223626659293,0.0,0.0,4.451223626659293,0.0,0.0,15.107216720645596,15.107,,sem solicitação,tension_capacity,tension_capacity,manter
24,top_chord,primary,5,1,5,106.51030205780306,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814657,13.707059966031728,-299.30096996824335,-59.86019399364867,-5.700970856537968,-5.700970856537968,598.6019399364867,2.80303061177145,10.718926471928746,0.0,0.0,0.9010424357415683,0.901,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
25,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,-0.3612672995948252,-0.0903168248987063,-0.008601602371305361,-0.008601602371305361,0.7225345991896504,0.017203204742610723,0.04055041117901099,0.0,0.0,597.192993226809,597.193,,sem solicitação,compression_direct,compression_direct,manter
