node_id,x,y,z,Ux_mm,Uy_mm,Uz_mm,Rx_N,Ry_N,Rz_N,support_active_vertical
1,-100.0,-85.0,0.0,0.0,0.0,0.5976822754177196,-8.354650304909228e-12,0.18196252914808042,0.0,False
2,-100.0,-85.0,73.33333333333333,0.43818105253535844,-0.005520352075004327,0.5976601933435141,0.0,0.0,0.0,False
3,-100.0,85.0,0.0,-0.02716487540170268,0.0,0.6119276870302978,8.1601392309949e-15,-0.181962529148322,0.0,False
4,-100.0,85.0,73.33333333333333,0.42174415439749663,-0.005698354580196698,0.6119581431163744,0.0,0.0,0.0,False
5,0.0,-85.0,0.0,3.6635597305859136e-05,0.0076190052577846615,0.0,-5.3290705182007514e-14,-2.220446049250313e-15,240.70809823214674,True
6,0.0,-85.0,73.33333333333333,0.4380638186239849,-0.00783456079721027,-0.0917500817250685,0.0,0.0,0.0,False
7,0.0,85.0,0.0,-0.02716487540170268,0.014656615962078963,0.0,1.0658141036401503e-13,-7.549516567451064e-15,200.59115176785585,True
8,0.0,85.0,73.33333333333333,0.42180277135318356,0.0054366534828458385,-0.07695773224585999,0.0,0.0,0.0,False
9,100.0,-85.0,0.0,-0.0009685713353769107,0.041835666904945,-0.9141134141724011,0.0,0.0,0.0,False
10,100.0,-85.0,110.0,0.6898099296465278,-0.003444873970823576,-1.002451124524433,0.0,0.0,0.0,False
11,100.0,85.0,0.0,-0.027311417790919754,0.0444979600317882,-0.8796829405682259,0.0,0.0,0.0,False
12,100.0,85.0,110.0,0.6734444951328767,0.01818892694273931,-0.9557908437212564,0.0,0.0,0.0,False
13,200.0,-85.0,0.0,0.08191455619911295,0.0530032355444492,-1.6813482677028502,0.0,0.0,0.0,False
14,200.0,-85.0,146.66666666666669,0.8487328203013256,-0.00627312593901888,-1.7658314012688339,0.0,0.0,0.0,False
15,200.0,85.0,0.0,0.04687379984969121,0.05215411349583178,-1.6368774614525734,0.0,0.0,0.0,False
16,200.0,85.0,146.66666666666669,0.8427398377319271,0.019051323717861696,-1.7114764176598583,0.0,0.0,0.0,False
17,300.0,-85.0,0.0,0.20467525220153907,0.05276948652260194,-2.300885347322638,0.0,0.0,0.0,False
18,300.0,-85.0,183.33333333333334,0.9317696883202238,-0.007786671367340653,-2.382234965794055,0.0,0.0,0.0,False
