member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state
51,14,17,chord_lacing,1,177.5136927425913,10.5,1.96875,42.875,1.0,1.0,28.127722293993102,2.6788306946660096,tension
52,18,21,diagonal,3,208.8327347690278,31.5,53.15625,128.625,1.0,1.0,66.04679316386355,2.0967235925036047,tension
53,18,21,chord_lacing,1,208.8327347690278,10.5,1.96875,42.875,1.0,1.0,22.01559772128785,2.0967235925036047,tension
54,22,25,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,114.06790067617482,3.621203196069042,tension
55,22,25,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,38.02263355872494,3.621203196069042,tension
56,26,29,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,41.01202130030606,1.3019689301684463,tension
57,26,29,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,13.670673766768688,1.3019689301684465,tension
58,29,34,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,31.70028870296209,1.006358371522606,tension
59,29,34,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,10.566762900987364,1.006358371522606,tension
60,33,38,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,104.06903663093351,3.303778940664556,tension
61,33,38,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,34.68967887697784,3.303778940664556,tension
62,37,42,diagonal,3,208.83273476902778,31.5,53.15625,128.625,1.0,1.0,59.622236299782664,1.8927694063423068,tension
63,37,42,chord_lacing,1,208.83273476902778,10.5,1.96875,42.875,1.0,1.0,19.874078766594224,1.892769406342307,tension
64,41,46,diagonal,3,177.5136927425913,31.5,53.15625,128.625,1.0,1.0,75.8499188871583,2.40793393292566,tension
65,41,46,chord_lacing,1,177.5136927425913,10.5,1.96875,42.875,1.0,1.0,25.283306295719434,2.4079339329256606,tension
66,45,50,diagonal,3,148.66068747318505,31.5,53.15625,128.625,1.0,1.0,104.86732986472693,3.329121583007204,tension
67,45,50,chord_lacing,1,148.66068747318505,10.5,1.96875,42.875,1.0,1.0,34.955776621575644,3.329121583007204,tension
68,49,54,diagonal,3,124.00716825158848,31.5,53.15625,128.625,1.0,1.0,171.51183998589522,5.444820317012547,tension
69,49,54,chord_lacing,1,124.00716825158848,10.5,1.96875,42.875,1.0,1.0,57.170613328631745,5.444820317012547,tension
70,53,58,diagonal,3,124.00716825158848,31.5,53.15625,128.625,1.0,1.0,-0.16799900551821215,-0.005333301762482925,compression
71,53,58,chord_lacing,1,124.00716825158848,10.5,1.96875,42.875,1.0,1.0,-0.055999668506070716,-0.005333301762482925,compression
72,3,7,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,0.0,0.0,tension
73,4,8,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,0.18464341041382892,0.003517017341215789,tension
74,7,11,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,-0.36928682082702835,-0.008792543353024485,compression
75,8,12,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-196.0261826280553,-3.7338320500581963,compression
76,11,15,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,186.94674845433963,4.451113058436658,tension
77,12,16,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-299.2976080713704,-5.700906820407055,compression
78,15,19,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,286.3723421421154,6.818389098621795,tension
79,16,20,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-365.6979627619951,-6.965675481180859,compression
80,19,23,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,349.38756448245823,8.318751535296624,tension
81,20,24,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-412.6794144137288,-7.860560274547216,compression
82,23,27,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,393.5999221512144,9.371426717886058,tension
83,24,28,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-451.0187521935629,-8.590833375115484,compression
84,27,31,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,457.37789961416144,10.889949990813367,tension
85,28,32,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-474.86815302944245,-9.045107676751284,compression
86,31,35,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,458.78895422362035,10.923546529133818,tension
87,32,36,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-481.4168374593382,-9.169844523035014,compression
88,35,39,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,402.40203975440596,9.581000946533475,tension
89,36,40,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-465.3376156388722,-8.863573631216614,compression
90,39,43,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,366.5918747353357,8.728377969888944,tension
91,40,44,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-435.3727059045779,-8.292813445801483,compression
92,43,47,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,309.3544824790592,7.3655829161680755,tension
93,44,48,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-397.00304197777865,-7.561962704338641,compression
94,47,51,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,208.86127284644098,4.972887448724785,tension
