member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state
220,38,39,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-12.295619047078524,-1.1710113378170024,compression
221,41,44,cross_frame_bracing,1,250.02222123465566,10.5,1.96875,42.875,1.0,1.0,-12.14741861144115,-1.1568970106134429,compression
222,42,43,cross_frame_bracing,1,250.02222123465566,10.5,1.96875,42.875,1.0,1.0,-12.40424110887423,-1.18135629608326,compression
223,45,48,cross_frame_bracing,1,224.52418825398547,10.5,1.96875,42.875,1.0,1.0,-11.22308452101082,-1.068865192477221,compression
224,46,47,cross_frame_bracing,1,224.52418825398547,10.5,1.96875,42.875,1.0,1.0,-12.735676240251147,-1.2129215466905854,compression
225,49,52,cross_frame_bracing,1,202.48456731316588,10.5,1.96875,42.875,1.0,1.0,-8.227227730612292,-0.7835454981535516,compression
226,50,51,cross_frame_bracing,1,202.48456731316588,10.5,1.96875,42.875,1.0,1.0,-13.221477986883697,-1.2591883797032093,compression
227,53,56,cross_frame_bracing,1,185.14258769331752,10.5,1.96875,42.875,1.0,1.0,-5.3429800890310055,-0.5088552465743815,compression
228,54,55,cross_frame_bracing,1,185.14258769331752,10.5,1.96875,42.875,1.0,1.0,-11.050223362086259,-1.052402224960596,compression
229,57,60,cross_frame_bracing,1,185.14258769331752,10.5,1.96875,42.875,1.0,1.0,-0.16721490674015377,-0.015925229213347977,compression
230,58,59,cross_frame_bracing,1,185.14258769331752,10.5,1.96875,42.875,1.0,1.0,0.1672149067399956,0.015925229213332913,tension
231,1,5,support_pad,4,100.0,42.0,7.875,2744.0,0.7,0.7,0.09232170521076502,0.0021981358383515483,tension
232,53,57,support_pad,4,100.0,42.0,7.875,2744.0,0.7,0.7,-5.595524044110789e-13,-1.3322676295501878e-14,compression
233,3,7,support_pad,4,100.0,42.0,7.875,2744.0,0.7,0.7,0.0,0.0,tension
234,55,59,support_pad,4,100.0,42.0,7.875,2744.0,0.7,0.7,0.09031682489898607,0.0021504005928330017,tension
