
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",     -0.217,      -0.035,     -0.711,      0.005,     57.124,      2.537
     1, "min",     -0.217,      -0.035,     -0.711,      0.005,    -13.968,     -0.936
     2, "max",     -3.083,      -0.059,      2.651,     -0.046,    -14.827,      6.867
     2, "min",     -3.083,      -0.059,      2.651,     -0.046,   -279.970,      0.925
     3, "max",      0.901,      -0.019,     -2.456,      0.051,     77.260,      2.156
     3, "min",      0.901,      -0.019,     -2.456,      0.051,   -168.347,      0.218
     4, "max",   -179.471,       0.057,     -4.164,      0.235,    147.717,      6.629
     4, "min",   -179.471,       0.057,     -4.164,      0.235,   -317.888,      0.230
     5, "max",    156.653,      -0.038,     -0.141,      0.021,     19.057,      1.426
     5, "min",    156.653,      -0.038,     -0.141,      0.021,      4.959,     -2.352
     6, "max",   -268.690,       0.068,      0.122,      0.136,     84.965,      6.110
     6, "min",   -268.690,       0.068,      0.122,      0.136,     71.341,     -1.524
     7, "max",    238.332,      -0.032,     -0.480,      0.002,     26.632,      1.439
     7, "min",    238.332,      -0.032,     -0.480,      0.002,    -21.393,     -1.730
     8, "max",   -322.941,       0.003,     -0.985,      0.026,    140.953,      2.722
     8, "min",   -322.941,       0.003,     -0.985,      0.026,     30.771,      2.358
     9, "max",    286.721,      -0.023,     -0.125,     -0.005,      5.484,      0.921
     9, "min",    286.721,      -0.023,     -0.125,     -0.005,     -7.064,     -1.334
    10, "max",   -358.074,       0.115,      4.004,     -0.330,    108.562,      5.316
    10, "min",   -358.074,       0.115,      4.004,     -0.330,   -339.133,     -7.519
    11, "max",    320.580,      -0.081,     -0.711,     -0.014,     36.075,      4.423
    11, "min",    320.580,      -0.081,     -0.711,     -0.014,    -35.020,     -3.658
    12, "max",   -369.789,      -0.066,     -8.377,      0.657,    450.970,      5.325
    12, "min",   -369.789,      -0.066,     -8.377,      0.657,   -386.754,     -1.295
    13, "max",    365.972,       0.006,     -0.890,      0.011,     75.688,     -0.437
    13, "min",    365.972,       0.006,     -0.890,      0.011,    -13.331,     -1.072
    14, "max",   -385.123,       0.223,     -1.959,      0.076,    597.590,     11.836
